price,quantity,type,timestamp
531.9,1067.0024,0,2022-05-21 23:35:56
531.8,80442.4215,0,2022-05-21 23:35:56
531.7,45835.6389,0,2022-05-21 23:35:56
531.6,49085.2826,0,2022-05-21 23:35:56
532.5,4024.5033,1,2022-05-21 23:35:56
532.6,44272.546,1,2022-05-21 23:35:56
532.7,128315.8511,1,2022-05-21 23:35:56
532.8,49073.8924,1,2022-05-21 23:35:56
532.9,145.2652,1,2022-05-21 23:35:56
532.0,40513.3993,0,2022-05-21 23:35:59
531.9,1067.0024,0,2022-05-21 23:35:59
531.8,80442.4215,0,2022-05-21 23:35:59
531.7,45835.6389,0,2022-05-21 23:35:59
531.6,49085.2826,0,2022-05-21 23:35:59
532.5,4024.5033,1,2022-05-21 23:35:59
532.6,44272.546,1,2022-05-21 23:35:59
532.7,125637.8511,1,2022-05-21 23:35:59
532.8,49073.8924,1,2022-05-21 23:35:59
532.9,145.2652,1,2022-05-21 23:35:59
532.0,40513.3993,0,2022-05-21 23:36:01
531.9,1067.0024,0,2022-05-21 23:36:01
531.8,80442.4215,0,2022-05-21 23:36:01
531.7,45835.6389,0,2022-05-21 23:36:01
531.6,49085.2826,0,2022-05-21 23:36:01
532.5,4024.5033,1,2022-05-21 23:36:01
532.6,44272.546,1,2022-05-21 23:36:01
532.7,125637.8511,1,2022-05-21 23:36:01
532.8,49073.8924,1,2022-05-21 23:36:01
532.9,145.2652,1,2022-05-21 23:36:01
532.0,40513.3993,0,2022-05-21 23:36:03
531.9,1067.0024,0,2022-05-21 23:36:03
531.8,80442.4215,0,2022-05-21 23:36:03
531.7,45835.6389,0,2022-05-21 23:36:03
531.6,49085.2826,0,2022-05-21 23:36:03
532.5,4024.5033,1,2022-05-21 23:36:03
532.6,44272.546,1,2022-05-21 23:36:03
532.7,125637.8511,1,2022-05-21 23:36:03
532.8,49073.8924,1,2022-05-21 23:36:03
532.9,145.2652,1,2022-05-21 23:36:03
532.0,40513.3993,0,2022-05-21 23:36:06
531.9,1067.0024,0,2022-05-21 23:36:06
531.8,80442.4215,0,2022-05-21 23:36:06
531.7,45835.6389,0,2022-05-21 23:36:06
531.6,49085.2826,0,2022-05-21 23:36:06
532.5,4024.5033,1,2022-05-21 23:36:06
532.6,44272.546,1,2022-05-21 23:36:06
532.7,125637.8511,1,2022-05-21 23:36:06
532.8,49073.8924,1,2022-05-21 23:36:06
532.9,145.2652,1,2022-05-21 23:36:06
532.0,40513.3993,0,2022-05-21 23:36:08
531.9,1067.0024,0,2022-05-21 23:36:08
531.8,80442.4215,0,2022-05-21 23:36:08
531.7,45835.6389,0,2022-05-21 23:36:08
531.6,49085.2826,0,2022-05-21 23:36:08
532.5,4024.5033,1,2022-05-21 23:36:08
532.6,44272.546,1,2022-05-21 23:36:08
532.7,125637.8511,1,2022-05-21 23:36:08
